"user_id","device_id","client_event","client_timestamp","year","Month","Day","Hours"
"163","tablet","beer_selection","2024-04-23T12:05:48.285384","2024","04","23","10"
"120","computer","beer_selection","2024-04-23T12:05:48.705637","2024","04","23","10"
"175","computer","beer_cart","2024-04-23T12:05:49.104955","2024","04","23","10"
"122","computer","beer_selection","2024-04-23T12:05:49.541250","2024","04","23","10"
"252","mobile","beer_cart","2024-04-23T12:05:49.964339","2024","04","23","10"
"110","mobile","beer_vitrine_nav","2024-04-23T12:05:50.380517","2024","04","23","10"
"178","tablet","beer_products","2024-04-23T12:05:50.797223","2024","04","23","10"
"265","mobile","beer_cart","2024-04-23T12:05:51.207312","2024","04","23","10"
"118","computer","beer_vitrine_nav","2024-04-23T12:05:51.628383","2024","04","23","10"
"178","mobile","beer_checkout","2024-04-23T12:05:52.153644","2024","04","23","10"
